,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat,knn_stalk_root,kmns_stalk_root
84,edible,convex,smooth,red,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
85,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,pink,white,white,one,evanescent,white,several,leaves,bulbous,0.0
86,poisonous,knobbed,fibrous,yellow,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,brown,white,one,evanescent,white,several,woods,bulbous,0.0
87,edible,knobbed,scaly,pink,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
88,edible,knobbed,scaly,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,rooted,3.0
89,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,silky,silky,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
90,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,silky,white,white,white,one,evanescent,white,several,woods,club,0.0
91,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,silky,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
92,edible,flat,scaly,pink,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,bulbous,3.0
93,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,pink,pink,white,one,evanescent,white,several,paths,bulbous,0.0
94,poisonous,bell,fibrous,yellow,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,yellow,white,one,evanescent,white,several,woods,bulbous,0.0
95,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,smooth,white,pink,white,one,evanescent,white,several,woods,bulbous,0.0
96,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,pink,pink,white,one,evanescent,white,several,woods,bulbous,0.0
97,edible,knobbed,smooth,brown,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
98,edible,knobbed,scaly,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,rooted,3.0
99,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,smooth,pink,pink,white,one,evanescent,white,several,paths,bulbous,0.0
100,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,silky,pink,pink,white,one,evanescent,white,several,paths,bulbous,0.0
101,edible,convex,smooth,red,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
102,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,silky,pink,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
103,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,white,white,white,one,evanescent,white,several,woods,bulbous,0.0
104,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,smooth,silky,white,pink,white,one,evanescent,white,several,paths,bulbous,0.0
105,edible,convex,smooth,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,equal,3.0
106,edible,flat,scaly,brown,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,bulbous,3.0
107,poisonous,convex,scaly,brown,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,yellow,white,one,evanescent,white,several,woods,bulbous,0.0
108,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,silky,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
109,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,smooth,silky,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
110,poisonous,flat,fibrous,brown,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,yellow,white,one,evanescent,white,several,woods,bulbous,0.0
111,edible,convex,scaly,red,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,bulbous,3.0
112,edible,knobbed,scaly,red,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,rooted,3.0
113,poisonous,convex,fibrous,brown,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,brown,white,one,evanescent,white,several,woods,bulbous,0.0
114,edible,convex,scaly,brown,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
115,edible,convex,smooth,pink,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
116,edible,flat,smooth,pink,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,equal,3.0
117,edible,flat,smooth,brown,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
118,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,white,white,white,one,evanescent,white,several,woods,bulbous,0.0
119,edible,convex,scaly,white,no,none,free,close,narrow,chocolate,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,several,woods,bulbous,3.0
120,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,smooth,white,white,white,one,evanescent,white,several,woods,bulbous,0.0
121,edible,knobbed,smooth,pink,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
122,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,silky,white,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
123,edible,knobbed,scaly,pink,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,equal,3.0
124,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,smooth,smooth,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
125,poisonous,flat,fibrous,brown,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,brown,white,one,evanescent,white,several,woods,bulbous,0.0
126,edible,knobbed,smooth,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
127,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,pink,white,white,one,evanescent,white,several,leaves,bulbous,0.0
128,edible,flat,smooth,brown,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,equal,3.0
129,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,smooth,pink,pink,white,one,evanescent,white,several,woods,bulbous,0.0
130,edible,knobbed,scaly,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,rooted,3.0
131,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,smooth,white,pink,white,one,evanescent,white,several,woods,bulbous,0.0
132,edible,knobbed,scaly,brown,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
133,edible,convex,scaly,pink,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,bulbous,3.0
134,edible,convex,smooth,pink,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,equal,3.0
135,poisonous,bell,scaly,brown,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,brown,white,one,evanescent,white,several,woods,bulbous,0.0
136,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,smooth,pink,white,white,one,evanescent,white,several,paths,bulbous,0.0
137,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,silky,white,white,white,one,evanescent,white,several,woods,bulbous,0.0
138,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,smooth,smooth,white,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
139,edible,knobbed,scaly,pink,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,rooted,3.0
140,edible,convex,smooth,brown,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
141,poisonous,knobbed,fibrous,yellow,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,yellow,white,one,evanescent,white,several,woods,bulbous,0.0
142,poisonous,flat,scaly,yellow,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,yellow,white,one,evanescent,white,several,woods,bulbous,0.0
143,edible,knobbed,smooth,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,equal,3.0
144,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,smooth,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
145,edible,knobbed,scaly,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,rooted,3.0
146,edible,knobbed,smooth,brown,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,equal,3.0
147,poisonous,convex,fibrous,yellow,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,yellow,white,one,evanescent,white,several,woods,bulbous,0.0
148,poisonous,knobbed,scaly,brown,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,yellow,white,one,evanescent,white,several,woods,bulbous,0.0
149,edible,flat,smooth,red,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
150,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,smooth,smooth,pink,pink,white,one,evanescent,white,several,woods,bulbous,0.0
151,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,smooth,white,white,white,one,evanescent,white,several,woods,bulbous,0.0
152,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,smooth,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
153,edible,knobbed,smooth,brown,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,equal,3.0
154,edible,convex,smooth,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,equal,3.0
155,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,silky,smooth,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
156,poisonous,knobbed,scaly,yellow,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,yellow,white,one,evanescent,white,several,woods,bulbous,0.0
157,edible,knobbed,scaly,pink,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
158,edible,flat,scaly,white,no,none,free,close,narrow,purple,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,solitary,woods,bulbous,3.0
159,edible,convex,scaly,green,no,none,free,close,narrow,white,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,several,woods,bulbous,3.0
160,edible,convex,smooth,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,rooted,3.0
161,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,smooth,silky,pink,white,white,one,evanescent,white,several,woods,bulbous,0.0
162,edible,flat,smooth,red,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
163,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,silky,white,pink,white,one,evanescent,white,several,woods,club,0.0
164,edible,convex,smooth,brown,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
165,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,smooth,pink,white,white,one,evanescent,white,several,leaves,bulbous,0.0
166,edible,convex,scaly,green,no,none,free,close,narrow,white,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,solitary,woods,bulbous,3.0
167,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,smooth,silky,pink,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
168,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,smooth,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
169,edible,flat,scaly,red,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
170,edible,knobbed,scaly,brown,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,rooted,3.0
171,edible,flat,scaly,red,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
172,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,smooth,silky,pink,pink,white,one,evanescent,white,several,paths,bulbous,0.0
173,poisonous,bell,scaly,brown,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,yellow,white,one,evanescent,white,several,woods,bulbous,0.0
174,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,smooth,white,pink,white,one,evanescent,white,several,paths,bulbous,0.0
175,edible,flat,scaly,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,rooted,3.0
176,edible,flat,scaly,brown,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
177,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,smooth,white,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
178,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,smooth,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
179,edible,flat,scaly,white,no,none,free,close,narrow,pink,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,several,woods,bulbous,3.0
180,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,silky,smooth,pink,white,white,one,evanescent,white,several,leaves,bulbous,0.0
181,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,pink,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
